pair,side,entry_time_et,exit_time_et,hold_min,entry_z,exit_z,beta,qty_a,qty_b,entry_a,entry_b,exit_a,exit_b,pnl,exit_reason
V-MA,LONG_SPREAD,2025-12-11 12:07:00-05:00,2025-12-11 12:11:00-05:00,4.0,-2.190211267617015,-0.2615311372009394,0.7436679682746311,11,-9,341.4599914550781,558.6212768554688,341.6700134277344,558.260009765625,5.5616455078125,TP
V-MA,LONG_SPREAD,2025-12-11 12:26:00-05:00,2025-12-11 12:38:00-05:00,12.0,-2.2179944683410477,-0.06426790603194582,0.6698534467197753,10,-9,341.94000244140625,559.5,341.8900146484375,558.4949951171875,8.545166015625,TP
V-MA,SHORT_SPREAD,2025-12-11 13:44:00-05:00,2025-12-11 14:06:00-05:00,22.0,2.4655167886839893,3.3309082514756763,0.3143220577834896,-6,12,342.802001953125,559.9000244140625,343.81500244140625,561.4099731445312,12.0413818359375,STOP
V-MA,SHORT_SPREAD,2025-12-11 14:07:00-05:00,2025-12-11 14:29:00-05:00,22.0,2.7845744914154684,0.30815521756556885,0.4422507335871731,-8,11,343.8999938964844,561.52001953125,345.125,562.6400146484375,2.5198974609375,TP
V-MA,LONG_SPREAD,2025-12-11 15:48:00-05:00,2025-12-11 15:51:00-05:00,3.0,-2.5673835240169938,0.2140613904467571,0.7352456429156827,11,-9,345.9100036621094,564.2899780273438,346.5050048828125,564.4349975585938,5.239837646484375,TP
V-MA,SHORT_SPREAD,2025-12-11 15:56:00-05:00,2025-12-12 09:30:00-05:00,5.0,2.97700647552436,,0.5579659062144894,-9,10,347.0400085449219,564.3499755859375,347.7149963378906,566.9550170898438,19.97552490234375,OVERNIGHT_FLAT
V-MA,LONG_SPREAD,2025-12-12 09:37:00-05:00,2025-12-12 09:39:00-05:00,2.0,-3.085406297707481,-3.1611747131218575,0.5237317812413202,8,-10,347.0450134277344,567.0750122070312,347.4800109863281,568.3300170898438,-9.070068359375,STOP
V-MA,LONG_SPREAD,2025-12-12 09:40:00-05:00,2025-12-12 09:43:00-05:00,3.0,-2.640002542719669,-0.20414380801217888,0.4689273555050915,8,-10,347.6300048828125,568.4000244140625,348.27020263671875,568.77001953125,1.421630859375,TP
V-MA,LONG_SPREAD,2025-12-12 09:47:00-05:00,2025-12-12 09:50:00-05:00,3.0,-2.174375230403202,-0.2786333501716117,0.44033089710664647,7,-10,349.1549987792969,572.0650024414062,349.4599914550781,571.489990234375,7.88507080078125,TP
V-MA,SHORT_SPREAD,2025-12-12 09:53:00-05:00,2025-12-12 10:03:00-05:00,10.0,3.0931669067182996,-0.29573655797992526,0.4392290468095892,-7,10,349.6099853515625,569.7650146484375,349.0545959472656,570.0700073242188,6.937652587890625,TP
V-MA,LONG_SPREAD,2025-12-12 10:12:00-05:00,2025-12-12 10:21:00-05:00,9.0,-2.1519711551748095,-0.2977765284782014,0.43573586544046156,7,-10,348.17999267578125,570.6170043945312,348.7250061035156,571.0499877929688,-0.514739990234375,TP
V-MA,LONG_SPREAD,2025-12-12 10:32:00-05:00,2025-12-12 11:02:00-05:00,30.0,-2.103408192754583,,0.3760339117708667,7,-11,347.69000244140625,570.2050170898438,347.19500732421875,572.6799926757812,-30.689697265625,TIME
V-MA,SHORT_SPREAD,2025-12-12 13:10:00-05:00,2025-12-12 13:21:00-05:00,11.0,2.086979006677609,-0.4494379485227592,0.4303160781334877,-7,10,348.17999267578125,572.6651000976562,347.5950012207031,572.3350219726562,0.794158935546875,TP
V-MA,LONG_SPREAD,2025-12-12 15:53:00-05:00,2025-12-12 15:57:00-05:00,4.0,-2.3511900774012138,-0.04566118547564151,0.49631488367491927,8,-10,347.864990234375,572.5800170898438,348.0199890136719,571.5700073242188,11.340087890625,TP
V-MA,LONG_SPREAD,2025-12-15 09:31:00-05:00,2025-12-15 09:32:00-05:00,1.0,-4.052325430252299,-4.676618691305825,0.466483245722863,8,-10,347.1600036621094,572.6500244140625,346.239990234375,570.489990234375,14.240234375,STOP
V-MA,LONG_SPREAD,2025-12-15 09:33:00-05:00,2025-12-15 09:34:00-05:00,1.0,-4.051483999586721,-4.384782110578848,0.4524739710924284,8,-10,346.3349914550781,571.2999877929688,345.4100036621094,570.239990234375,3.2000732421875,STOP
V-MA,LONG_SPREAD,2025-12-15 09:36:00-05:00,2025-12-15 09:37:00-05:00,1.0,-3.7158795933363633,-3.6081145999445887,0.516719977540833,8,-10,344.9100036621094,569.1799926757812,345.010009765625,569.4500122070312,-1.900146484375,STOP
V-MA,LONG_SPREAD,2025-12-15 09:38:00-05:00,2025-12-15 09:39:00-05:00,1.0,-3.3192834433037586,-3.436301608749084,0.5927017164310965,9,-9,344.8399963378906,569.5900268554688,345.0899963378906,569.7899780273438,0.450439453125,STOP
V-MA,LONG_SPREAD,2025-12-15 09:40:00-05:00,2025-12-15 10:10:00-05:00,30.0,-2.9389171871781388,,0.650425839785889,10,-9,345.4150085449219,571.1300048828125,345.8299865722656,571.2000122070312,3.51971435546875,TIME
V-MA,SHORT_SPREAD,2025-12-15 11:10:00-05:00,2025-12-15 11:17:00-05:00,7.0,2.095536640524478,0.32169259319981747,1.0365716018916822,-13,7,346.2799987792969,570.3800048828125,346.2950134277344,570.5399780273438,0.92462158203125,TP
V-MA,LONG_SPREAD,2025-12-15 12:29:00-05:00,2025-12-15 12:39:00-05:00,10.0,-2.4147072150107958,-0.32849563675814053,0.6657818221186347,10,-9,345.2655029296875,568.9124755859375,345.3800048828125,569.0050048828125,0.312255859375,TP
V-MA,LONG_SPREAD,2025-12-15 13:01:00-05:00,2025-12-15 13:03:00-05:00,2.0,-2.9297845503573563,-3.1675932735065278,0.8847174377531868,12,-8,345.1499938964844,569.0599975585938,345.3699951171875,569.5250244140625,-1.0802001953125,STOP
V-MA,LONG_SPREAD,2025-12-15 13:04:00-05:00,2025-12-15 13:05:00-05:00,1.0,-3.5965945471813856,-3.162115514802373,0.8882431680968307,12,-8,345.30499267578125,569.4199829101562,345.32000732421875,569.5599975585938,-0.93994140625,STOP
