ticker,entry_time,exit_time,entry,stop,target,exit,pnl,R,hold_bars,exit_reason,impulse_L,impulse_H,fib
SPY,2025-09-24 14:00:00+00:00,2025-09-24 14:05:00+00:00,663.1549987792969,662.8549987792969,663.7549987792969,662.8549987792969,-0.2999999999999545,-1.0,1,stop,661.97998046875,664.3300170898438,0.5
SPY,2025-09-26 13:30:00+00:00,2025-09-26 13:35:00+00:00,659.2550048828125,658.9550048828125,659.8550048828125,659.8550048828125,0.6000000000000227,2.000000000000379,1,target,657.1300048828125,661.3800048828125,0.5
SPY,2025-09-29 15:15:00+00:00,2025-09-29 15:20:00+00:00,663.2150268554688,662.9150268554688,663.8150268554688,663.8150268554688,0.6000000000000227,2.000000000000379,1,target,661.1500244140625,665.280029296875,0.5
SPY,2025-09-30 13:40:00+00:00,2025-09-30 13:45:00+00:00,662.8099975585938,662.5099975585938,663.4099975585938,662.5099975585938,-0.2999999999999545,-1.0,1,stop,661.8599853515625,663.760009765625,0.5
SPY,2025-09-30 17:50:00+00:00,2025-09-30 17:55:00+00:00,662.8313293457031,662.5313293457032,663.4313293457031,662.5313293457032,-0.2999999999999545,-1.0,1,stop,661.6099853515625,664.0526733398438,0.5
SPY,2025-10-01 13:35:00+00:00,2025-10-01 13:40:00+00:00,664.52001953125,664.22001953125,665.12001953125,665.12001953125,0.6000000000000227,2.000000000000379,1,target,662.3900146484375,666.6500244140625,0.5
SPY,2025-10-03 17:10:00+00:00,2025-10-03 17:15:00+00:00,671.3224792480469,671.0224792480469,671.9224792480469,671.0224792480469,-0.2999999999999545,-1.0,1,stop,669.969970703125,672.6749877929688,0.5
SPY,2025-10-06 13:55:00+00:00,2025-10-06 14:00:00+00:00,669.9600219726562,669.6600219726563,670.5600219726563,669.6600219726563,-0.2999999999999545,-1.0,1,stop,668.27001953125,671.6500244140625,0.5
SPY,2025-10-06 19:25:00+00:00,2025-10-07 13:30:00+00:00,671.7474975585938,671.4474975585938,672.3474975585938,672.3474975585938,0.6000000000000227,2.000000000000379,7,target,670.9849853515625,672.510009765625,0.5
SPY,2025-10-10 13:35:00+00:00,2025-10-10 13:45:00+00:00,673.0450134277344,672.7450134277344,673.6450134277344,673.6450134277344,0.6000000000000227,2.000000000000379,2,target,672.1500244140625,673.9400024414062,0.5
SPY,2025-10-13 17:50:00+00:00,2025-10-13 17:55:00+00:00,662.4489440917969,662.1489440917969,663.0489440917969,663.0489440917969,0.6000000000000227,2.000000000000379,1,target,659.7678833007812,665.1300048828125,0.5
SPY,2025-10-15 15:40:00+00:00,2025-10-15 15:45:00+00:00,665.2899780273438,664.9899780273438,665.8899780273438,664.9899780273438,-0.2999999999999545,-1.0,1,stop,660.3499755859375,670.22998046875,0.5
SPY,2025-10-16 14:10:00+00:00,2025-10-16 14:15:00+00:00,665.6650085449219,665.3650085449219,666.2650085449219,666.2650085449219,0.6000000000000227,2.000000000000379,1,target,663.25,668.0800170898438,0.5
SPY,2025-10-16 15:30:00+00:00,2025-10-16 15:35:00+00:00,665.9800109863281,665.6800109863282,666.5800109863281,666.5800109863281,0.6000000000000227,2.000000000000379,1,target,663.25,668.7100219726562,0.5
SPY,2025-10-17 13:45:00+00:00,2025-10-17 13:50:00+00:00,659.2200012207031,658.9200012207032,659.8200012207031,659.8200012207031,0.6000000000000227,2.000000000000379,1,target,657.1099853515625,661.3300170898438,0.5
SPY,2025-10-17 14:45:00+00:00,2025-10-17 14:50:00+00:00,660.8525085449219,660.5525085449219,661.4525085449219,661.4525085449219,0.6000000000000227,2.000000000000379,1,target,657.989990234375,663.7150268554688,0.5
SPY,2025-10-17 17:20:00+00:00,2025-10-17 17:30:00+00:00,660.8875122070312,660.5875122070313,661.4875122070313,661.4875122070313,0.6000000000000227,2.000000000000379,2,target,658.1400146484375,663.635009765625,0.5
SPY,2025-10-20 18:45:00+00:00,2025-10-20 19:00:00+00:00,671.2100219726562,670.9100219726563,671.8100219726563,671.8100219726563,0.6000000000000227,2.000000000000379,3,target,670.2100219726562,672.2100219726562,0.5
