Ticker,OpenedAt,Status,EntryPrice,InitialQty,CurrentQty,StopPrice,TP1Price,TP2Price,TP1Qty,TP2Qty,LastSeenAt,ClosedAt,ExitPrice,PnL,ExitReason
BORR,2026-03-26T14:04:44+00:00,OPEN,5.74,266.0,266.0,5.36,6.88,8.02,212.0,54.0,2026-03-27T19:13:07+00:00,,,,
ARKO,2026-03-27T13:39:59+00:00,OPEN,5.47,301.0,301.0,,,,,,2026-03-27T19:13:07+00:00,,,,
BHM,2026-03-27T13:39:59+00:00,OPEN,12.54,74.0,74.0,,,,,,2026-03-27T19:13:07+00:00,,,,
MDRR,2026-03-27T13:39:59+00:00,OPEN,11.8,122.0,122.0,,,,,,2026-03-27T19:13:07+00:00,,,,
PFLT,2026-03-27T13:40:14+00:00,OPEN,7.9,250.0,250.0,7.66,8.51,9.14,200.0,50.0,2026-03-27T19:13:07+00:00,,,,
GSM,2026-03-27T13:57:21+00:00,OPEN,4.24,299.0,299.0,3.92,4.92,5.62,239.0,60.0,2026-03-27T19:13:07+00:00,,,,
